DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
18/04,QH261,HAN,SGN,1h50m,06:50,09:44,09:05,Landed 18:34,red
18/04,QH242,SGN,HAN,2h4m,06:15,12:37,08:25,Landed 21:42,red
18/04,QH240,SGN,HAN,1h54m,04:05,06:42,06:15,Landed 15:36,red
18/04,QH211,HAN,SGN,1h48m,03:10,03:56,05:25,Landed 12:44,yellow
18/04,QH204,SGN,HAN,1h49m,00:10,00:50,02:20,Landed 09:39,yellow
17/04,QH251,HAN,SGN,1h49m,14:28,14:28,16:16,Landed 23:16,red
17/04,QH261,HAN,SGN,1h45m,06:50,07:02,09:05,Landed 15:47,green
17/04,QH240,SGN,HAN,1h48m,03:50,04:06,06:00,Landed 12:54,green
17/04,QH224,SGN,HAN,1h50m,03:25,11:27,05:35,Landed 20:18,red
17/04,QH151,DAD,SGN,1h0m,01:10,01:20,02:40,Landed 09:21,green
